lat,lng,altitude-meters,distance-meters,distance-miles
30.269995,-97.746014,186.15,2441.39,1.5170
30.269770,-97.746125,186.15,2468.10,1.5336
30.269534,-97.746193,182.79,2495.13,1.5504
30.269343,-97.746264,182.79,2517.34,1.5642
30.269190,-97.746318,185.67,2535.31,1.5754
30.268986,-97.746419,186.63,2559.82,1.5906
30.268679,-97.746536,178.94,2595.65,1.6129
30.268476,-97.746602,175.58,2619.08,1.6274
30.268271,-97.746650,173.17,2641.73,1.6415
30.268175,-97.746662,170.29,2652.10,1.6479
30.267902,-97.746776,161.64,2684.20,1.6679
30.267674,-97.746845,158.27,2710.37,1.6841
30.267441,-97.746958,160.20,2737.91,1.7013
30.267295,-97.746999,162.60,2754.23,1.7114
30.267137,-97.747055,162.12,2772.46,1.7227
30.266962,-97.747096,163.08,2792.35,1.7351
30.266797,-97.747220,169.81,2807.10,1.7443
30.266671,-97.747260,169.81,2819.97,1.7522
30.266568,-97.747312,176.54,2828.14,1.7573
30.266431,-97.747440,190.96,2836.92,1.7628
30.266343,-97.747453,207.30,2844.72,1.7676
30.266221,-97.747421,200.09,2858.06,1.7759
30.265973,-97.747393,190.96,2885.14,1.7927
30.265839,-97.747497,197.69,2902.19,1.8033
30.265626,-97.747598,199.61,2927.27,1.8189
30.265448,-97.747690,200.57,2948.46,1.8321
30.265349,-97.747733,204.42,2959.12,1.8387
30.265121,-97.747850,191.44,2986.24,1.8556
30.264960,-97.747956,195.77,3005.53,1.8675
30.264832,-97.747947,196.73,3019.33,1.8761
30.264673,-97.747958,190.00,3036.69,1.8869
30.264473,-97.747977,179.90,3059.11,1.9008
30.264355,-97.747853,162.60,3077.10,1.9120
30.264259,-97.747659,146.26,3098.65,1.9254
30.264202,-97.747521,140.49,3113.36,1.9346
30.264132,-97.747353,137.13,3131.24,1.9457
30.264073,-97.747184,137.61,3148.78,1.9566
30.264000,-97.746978,139.05,3170.21,1.9699
30.263962,-97.746849,141.93,3183.30,1.9780
30.263943,-97.746792,143.85,3189.15,1.9816
30.263893,-97.746702,154.91,3199.63,1.9882
30.263843,-97.746510,150.10,3218.87,2.0001
30.263795,-97.746365,157.31,3233.75,2.0094
30.263750,-97.746207,161.16,3250.82,2.0200
30.263719,-97.746085,165.00,3262.11,2.0270
30.263687,-97.745983,177.50,3272.57,2.0335
30.263647,-97.745859,196.25,3285.28,2.0414
30.263626,-97.745816,202.98,3289.97,2.0443
30.263560,-97.745629,207.78,3309.27,2.0563
30.263437,-97.745357,165.48,3338.70,2.0746
30.263410,-97.745301,155.87,3344.82,2.0784
30.263329,-97.745030,132.32,3372.42,2.0955
30.263293,-97.744928,128.95,3382.95,2.1021
30.263195,-97.744772,124.63,3401.46,2.1136
30.263082,-97.744731,124.63,3414.90,2.1219
30.262880,-97.744829,131.84,3438.94,2.1369
30.262718,-97.744921,142.89,3458.69,2.1491
30.262505,-97.745003,148.18,3483.58,2.1646
30.262319,-97.745072,150.10,3505.20,2.1780
30.262132,-97.745137,149.14,3526.90,2.1915
30.261936,-97.745193,145.78,3549.28,2.2054
30.261749,-97.745255,144.82,3571.63,2.2193
30.261570,-97.745325,146.74,3591.82,2.2319
30.261422,-97.745389,148.18,3609.31,2.2427
30.261236,-97.745457,148.66,3630.98,2.2562
30.261084,-97.745519,148.66,3648.92,2.2673
30.260837,-97.745601,147.22,3677.44,2.2851
30.260692,-97.745674,150.58,3694.99,2.2960
30.260507,-97.745755,152.51,3716.93,2.3096
30.260318,-97.745809,152.03,3738.48,2.3230
30.260090,-97.745880,147.22,3764.66,2.3393
30.259930,-97.745935,145.78,3783.53,2.3510
30.259704,-97.746024,143.85,3809.62,2.3672
30.259578,-97.746072,142.41,3824.36,2.3763
30.259350,-97.746170,141.45,3851.27,2.3931
30.259087,-97.746271,139.53,3882.13,2.4122
30.258856,-97.746360,138.09,3909.21,2.4291
30.258662,-97.746444,139.05,3932.17,2.4433
30.258476,-97.746515,142.89,3953.69,2.4567
30.258330,-97.746556,141.93,3969.84,2.4667
30.258183,-97.746629,139.53,3987.60,2.4778
30.258020,-97.746682,138.57,4006.23,2.4894
30.257818,-97.746745,137.13,4029.41,2.5038
30.257620,-97.746819,135.68,4052.46,2.5181
30.257420,-97.746894,134.72,4075.77,2.5326
30.257185,-97.746982,134.72,4103.19,2.5496
30.256983,-97.747055,135.20,4126.59,2.5641
30.256786,-97.747134,136.16,4149.72,2.5785
30.256590,-97.747206,136.64,4172.53,2.5927
30.256431,-97.747268,137.13,4191.11,2.6042
30.256289,-97.747326,139.05,4207.77,2.6146
30.256152,-97.747391,140.01,4224.20,2.6248
30.255972,-97.747459,142.41,4245.20,2.6378
30.255781,-97.747522,141.45,4267.27,2.6516
30.255623,-97.747566,142.41,4285.28,2.6627
30.255442,-97.747642,142.89,4306.67,2.6760
30.255268,-97.747704,145.30,4326.84,2.6886
30.255092,-97.747759,145.30,4347.28,2.7013
30.254899,-97.747832,144.82,4369.81,2.7153
30.254705,-97.747906,144.34,4392.50,2.7294
30.254545,-97.747960,144.82,4410.97,2.7408
30.254363,-97.748032,146.26,4432.34,2.7541
30.254172,-97.748100,147.70,4454.26,2.7677
30.253951,-97.748171,147.70,4479.76,2.7836
30.253787,-97.748231,147.70,4498.86,2.7955
30.253555,-97.748313,149.62,4525.83,2.8122
30.253361,-97.748378,150.58,4548.15,2.8261
30.253164,-97.748443,150.58,4570.88,2.8402
30.252969,-97.748514,149.62,4593.54,2.8543
30.252814,-97.748589,151.06,4612.24,2.8659
30.252645,-97.748640,151.54,4631.58,2.8779
30.252502,-97.748697,151.06,4648.37,2.8884
30.252343,-97.748753,152.99,4666.79,2.8998
30.252188,-97.748813,152.99,4684.89,2.9111
30.252004,-97.748890,152.51,4706.61,2.9246
30.251808,-97.748964,152.03,4729.44,2.9387
30.251619,-97.749039,152.51,4751.68,2.9526
30.251417,-97.749110,153.47,4776.05,2.9677
30.251318,-97.749150,153.95,4786.75,2.9743
30.251219,-97.749188,153.95,4798.21,2.9815
30.251038,-97.749251,152.99,4819.22,2.9945
30.250826,-97.749323,152.51,4843.72,3.0097
30.250617,-97.749399,153.95,4867.99,3.0248
30.250438,-97.749468,156.83,4888.92,3.0378
30.250204,-97.749551,158.75,4915.99,3.0547
30.250030,-97.749619,160.20,4936.41,3.0673
30.249881,-97.749670,159.24,4953.56,3.0780
30.249695,-97.749729,158.27,4974.96,3.0913
30.249543,-97.749783,159.24,4992.62,3.1023
30.249391,-97.749845,161.16,5010.42,3.1133
30.249152,-97.749946,161.64,5038.65,3.1309
30.248937,-97.750034,161.64,5063.98,3.1466
30.248689,-97.750120,161.16,5093.44,3.1649
30.248477,-97.750201,162.12,5117.40,3.1798
30.248321,-97.750262,160.68,5135.71,3.1912
30.248138,-97.750331,162.60,5156.99,3.2044
30.247921,-97.750412,165.00,5182.36,3.2202
30.247709,-97.750488,165.96,5206.98,3.2355
30.247559,-97.750553,167.41,5224.70,3.2465
30.247370,-97.750614,166.93,5246.43,3.2600
30.247156,-97.750695,167.41,5271.44,3.2755
30.247008,-97.750767,170.29,5289.19,3.2866
30.246764,-97.750856,170.29,5317.58,3.3042
30.246582,-97.750915,169.81,5338.56,3.3172
30.246403,-97.750986,172.69,5359.55,3.3303
30.246191,-97.751087,175.58,5385.00,3.3461
30.245985,-97.751197,184.71,5410.81,3.3621
30.245800,-97.751267,186.15,5431.76,3.3751
30.245615,-97.751335,184.23,5453.29,3.3885
30.245418,-97.751389,180.87,5475.79,3.4025
30.245224,-97.751459,178.46,5498.28,3.4165
30.245058,-97.751508,176.54,5517.36,3.4283
30.244859,-97.751568,175.10,5539.98,3.4424
30.244630,-97.751649,175.58,5566.49,3.4589
30.244435,-97.751717,175.58,5589.15,3.4729
30.244213,-97.751793,175.58,5614.90,3.4889
30.244082,-97.751838,174.62,5631.19,3.4991
30.243896,-97.751914,174.62,5651.85,3.5119
30.243748,-97.751977,176.06,5669.37,3.5228
30.243563,-97.752039,175.10,5690.65,3.5360
30.243370,-97.752114,175.58,5713.30,3.5501
30.243204,-97.752167,175.58,5732.37,3.5619
30.243012,-97.752230,176.06,5754.55,3.5757
30.242781,-97.752312,175.10,5781.27,3.5923
30.242552,-97.752403,175.58,5808.14,3.6090
30.242359,-97.752477,176.06,5830.66,3.6230
30.242139,-97.752555,177.50,5856.22,3.6389
30.241916,-97.752624,179.90,5881.84,3.6548
30.241722,-97.752655,179.90,5903.57,3.6683
30.241494,-97.752687,180.38,5928.90,3.6840
30.241299,-97.752721,179.42,5950.85,3.6977
30.241071,-97.752765,177.98,5976.39,3.7136
30.240882,-97.752797,178.46,5997.56,3.7267
30.240693,-97.752825,176.54,6018.67,3.7398
30.240476,-97.752856,175.58,6042.99,3.7549
30.240262,-97.752882,175.58,6066.80,3.7697
30.240037,-97.752904,176.54,6091.86,3.7853
30.239784,-97.752960,177.02,6120.42,3.8031
30.239600,-97.753033,177.50,6142.03,3.8165
30.239449,-97.753117,177.02,6160.60,3.8280
30.239310,-97.753212,176.54,6178.69,3.8393
30.239148,-97.753342,174.62,6200.63,3.8529
30.238985,-97.753485,176.06,6223.19,3.8669
30.238822,-97.753624,175.58,6245.74,3.8809
30.238661,-97.753761,176.06,6268.01,3.8948
30.238479,-97.753930,177.02,6293.68,3.9107
30.238310,-97.754080,177.02,6317.29,3.9254
30.238124,-97.754238,177.50,6342.97,3.9413
30.237915,-97.754411,177.50,6371.42,3.9590
30.237733,-97.754573,178.46,6396.92,3.9749
30.237494,-97.754788,180.38,6430.59,3.9958
30.237353,-97.754908,180.38,6449.98,4.0078
30.237327,-97.754930,180.87,6453.54,4.0100
30.237197,-97.755049,180.87,6471.99,4.0215
30.237002,-97.755210,179.90,6498.62,4.0381
30.236856,-97.755320,178.46,6517.95,4.0501
30.236672,-97.755477,177.98,6543.37,4.0659
30.236488,-97.755637,179.90,6568.83,4.0817
30.236352,-97.755758,180.38,6587.90,4.0935
30.236192,-97.755896,181.83,6610.94,4.1078
30.236105,-97.755981,182.31,6622.59,4.1151
30.235993,-97.756070,181.35,6637.70,4.1245
30.235851,-97.756168,178.46,6656.04,4.1359
30.235707,-97.756308,178.94,6676.89,4.1488
30.235545,-97.756444,180.38,6699.12,4.1626
30.235411,-97.756554,180.38,6717.29,4.1739
30.235279,-97.756666,180.38,6735.46,4.1852
30.235090,-97.756818,179.90,6761.08,4.2011
30.234896,-97.756962,181.83,6786.62,4.2170
